"muni_code" "ayear" "cover_class" "area_ha"
"2101707" "1999" 15 59.291
"2101707" "1999" 21 26.163
"2101707" "1999" 23 52933.616
"2101707" "1999" 24 748.217
"2101707" "1999" 25 3574.997
"2101707" "1999" 32 960.208
"2101707" "1999" 33 6011.068
"2101707" "2000" 3 119696.164
"2101707" "2000" 4 95690.317
"2101707" "2000" 5 3631.87
"2101707" "2000" 11 2505.404
"2101707" "2000" 12 19667.214
"2101707" "2000" 15 168.323
"2101707" "2000" 21 8.751
"2101707" "2000" 23 52749.022
"2101707" "2000" 24 771.702
"2101707" "2000" 25 3804.248
"2101707" "2000" 32 522.88
"2101707" "2000" 33 4649.841
"2101707" "2001" 3 119796.087
"2101707" "2001" 4 95385.642
"2101707" "2001" 5 3602.847
"2101707" "2001" 11 2685.256
"2101707" "2001" 12 19894.938
"2101707" "2001" 15 381.927
"2101707" "2001" 21 19.645
"2101707" "2001" 23 53333.815
"2101707" "2001" 24 790.365
"2101707" "2001" 25 3550.867
"2101707" "2001" 30 3.839
"2101707" "2001" 32 283.014
"2101707" "2001" 33 4199.388
"2101707" "2002" 3 119261.658
"2101707" "2002" 4 95722.731
"2101707" "2002" 5 3528.816
"2101707" "2002" 11 2725.263
"2101707" "2002" 12 20121.28
"2101707" "2002" 15 355.957
"2101707" "2002" 21 36.432
"2101707" "2002" 23 53895.468
"2101707" "2002" 24 845.729
"2101707" "2002" 25 3292.673
"2101707" "2002" 30 4.018
"2101707" "2002" 32 215.052
"2101707" "2002" 33 3950.683
"2101707" "2003" 3 118830.786
"2101707" "2003" 4 95903.917
"2101707" "2003" 5 3528.191
"2101707" "2003" 11 2749.374
"2101707" "2003" 12 19868.802
"2101707" "2003" 15 425.881
"2101707" "2003" 21 26.252
"2101707" "2003" 23 53946.372
"2101707" "2003" 24 866.535
"2101707" "2003" 25 3296.432
"2101707" "2003" 30 4.107
"2101707" "2003" 32 191.654
"2101707" "2003" 33 4303.435
"2101707" "2004" 3 118503.716
"2101707" "2004" 4 96044.089
"2101707" "2004" 5 3615.616
"2101707" "2004" 11 2661.858
"2101707" "2004" 12 20014.806
"2101707" "2004" 15 545.719
"2101707" "2004" 21 34.021
"2101707" "2004" 23 53703.891
"2101707" "2004" 24 877.34
"2101707" "2004" 25 3662.604
"2101707" "2004" 30 4.107
"2101707" "2004" 32 200.941
"2101707" "2004" 33 4100.625
"2101707" "2005" 3 118079.554
"2101707" "2005" 4 96362.167
"2101707" "2005" 5 3664.732
"2101707" "2005" 11 2541.302
"2101707" "2005" 12 20158.944
"2101707" "2005" 15 681.08
"2101707" "2005" 21 29.199
"2101707" "2005" 23 53867.943
"2101707" "2005" 24 893.591
"2101707" "2005" 25 3362.359
"2101707" "2005" 30 4.018
"2101707" "2005" 32 234.073
"2101707" "2005" 33 4094.031
"2101707" "2006" 3 117697.767
"2101707" "2006" 4 96488.211
"2101707" "2006" 5 3670.358
"2101707" "2006" 11 2466.468
"2101707" "2006" 12 20368.415
"2101707" "2006" 15 535.698
"2101707" "2006" 21 34.378
"2101707" "2006" 23 53821.417
"2101707" "2006" 24 907.611
"2101707" "2006" 25 3271.259
"2101707" "2006" 30 3.572
"2101707" "2006" 32 496.72
"2101707" "2006" 33 4152.894
"2101707" "2007" 3 117189.619
"2101707" "2007" 4 96959.841
"2101707" "2007" 5 3645.086
"2101707" "2007" 11 2437.087
"2101707" "2007" 12 20279.062
"2101707" "2007" 15 683.91
"2101707" "2007" 21 38.397
"2101707" "2007" 23 53647.276
"2101707" "2007" 24 910.468
"2101707" "2007" 25 3315.728
"2101707" "2007" 30 3.393
"2101707" "2007" 32 602.812
"2101707" "2007" 33 4121.353
"2101707" "2007" 39 2.589
"2101707" "2008" 3 116686.134
"2101707" "2008" 4 97585.68
"2101707" "2008" 5 3631.601
"2101707" "2008" 11 2282.239
"2101707" "2008" 12 20321.357
"2101707" "2008" 15 381.919
"2101707" "2008" 21 48.933
"2101707" "2008" 23 54023.094
"2101707" "2008" 24 916.183
"2101707" "2008" 25 3021.539
"2101707" "2008" 30 3.393
"2101707" "2008" 32 598.079
"2101707" "2008" 33 4368.174
"2101707" "2008" 39 2.589
"2101707" "2009" 3 115307.063
"2101707" "2009" 4 98746.713
"2101707" "2009" 5 3644.104
"2101707" "2009" 9 0.982
"2101707" "2009" 11 2298.758
"2101707" "2009" 12 20810.167
"2101707" "2009" 15 192.251
"2101707" "2009" 21 78.132
"2101707" "2009" 23 54524.377
"2101707" "2009" 24 918.684
"2101707" "2009" 25 2605.9
"2101707" "2009" 30 3.393
"2101707" "2009" 32 459.121
"2101707" "2009" 33 4297.882
"2101707" "2010" 3 114084.119
"2101707" "2010" 4 100075.213
"2101707" "2010" 5 3623.029
"2101707" "2010" 9 0.982
"2101707" "2010" 11 2273.666
"2101707" "2010" 12 21255.521
"2101707" "2010" 15 179.212
"2101707" "2010" 21 60.987
"2101707" "2010" 23 54611.267
"2101707" "2010" 24 926.631
"2101707" "2010" 25 2611.705
"2101707" "2010" 30 3.304
"2101707" "2010" 32 237.822
"2101707" "2010" 33 3928.173
"2101707" "2011" 3 113963.519
"2101707" "2011" 4 100143.315
"2101707" "2011" 5 3530.423
"2101707" "2011" 9 0.982
"2101707" "2011" 11 2266.789
"2101707" "2011" 12 21326.322
"2101707" "2011" 15 128.133
"2101707" "2011" 21 76.257
"2101707" "2011" 23 54586.337
"2101707" "2011" 24 933.507
"2101707" "2011" 25 2545.358
"2101707" "2011" 30 3.214
"2101707" "2011" 32 226.123
"2101707" "2011" 33 3975.329
"2101707" "2012" 3 114355.693
"2101707" "2012" 4 100344.609
"2101707" "2012" 5 3380.485
"2101707" "2012" 9 3.66
"2101707" "2012" 11 2346.804
"2101707" "2012" 12 21481.913
"2101707" "2012" 15 44.022
"2101707" "2012" 21 29.644
"2101707" "2012" 23 54707.519
"2101707" "2012" 24 944.133
"2101707" "2012" 25 2072.389
"2101707" "2012" 30 2.857
"2101707" "2012" 32 237.555
"2101707" "2012" 33 3665.552
"2101707" "2013" 3 115245.554
"2101707" "2013" 4 99849.795
"2101707" "2013" 5 3373.34
"2101707" "2013" 9 3.66
"2101707" "2013" 11 2287.508
"2101707" "2013" 12 21390.419
"2101707" "2013" 15 176.541
"2101707" "2013" 21 14.912
"2101707" "2013" 23 54421.381
"2101707" "2013" 24 971.011
"2101707" "2013" 25 2291.727
"2101707" "2013" 30 2.679
"2101707" "2013" 32 233.715
"2101707" "2013" 33 3414.967
"2101707" "2014" 3 115004.462
"2101707" "2014" 4 99892.461
"2101707" "2014" 5 3423.796
"2101707" "2014" 9 4.732
"2101707" "2014" 11 2355.556
"2101707" "2014" 12 21298.291
"2101707" "2014" 15 460.493
"2101707" "2014" 21 13.216
"2101707" "2014" 23 54014.674
"2101707" "2014" 24 991.281
"2101707" "2014" 25 2714.329
"2101707" "2014" 30 2.5
"2101707" "2014" 32 193.439
"2101707" "2014" 33 3365.313
"2101707" "2015" 3 115419.953
"2101707" "2015" 4 99434.372
"2101707" "2015" 5 3372.716
"2101707" "2015" 9 4.732
"2101707" "2015" 11 2420.925
"2101707" "2015" 12 21179.552
"2101707" "2015" 15 624.782
"2101707" "2015" 21 8.304
"2101707" "2015" 23 53975.802
"2101707" "2015" 24 1006.372
"2101707" "2015" 25 2896.348
"2101707" "2015" 30 1.786
"2101707" "2015" 32 151.197
"2101707" "2015" 33 3335.132
"2101707" "2016" 3 115577.186
"2101707" "2016" 4 99218.032
"2101707" "2016" 5 3318.956
"2101707" "2016" 9 4.732
"2101707" "2016" 11 2416.906
"2101707" "2016" 12 20979.186
"2101707" "2016" 15 879.44
"2101707" "2016" 21 16.608
"2101707" "2016" 23 54170.564
"2101707" "2016" 24 1028.607
"2101707" "2016" 25 2833.751
"2101707" "2016" 30 1.161
"2101707" "2016" 32 138.157
"2101707" "2016" 33 3272.711
"2101707" "2017" 3 115861.866
"2101707" "2017" 4 98867.637
"2101707" "2017" 5 3305.381
"2101707" "2017" 9 4.732
"2101707" "2017" 11 2395.473
"2101707" "2017" 12 20932.65
"2101707" "2017" 15 903.368
"2101707" "2017" 21 23.751
"2101707" "2017" 23 53552.907
"2101707" "2017" 24 1040.573
"2101707" "2017" 25 3297.525
"2101707" "2017" 30 1.607
"2101707" "2017" 32 140.926
"2101707" "2017" 33 3477.945
"2101707" "2018" 3 116486.656
"2101707" "2018" 4 98136.595
"2101707" "2018" 5 3303.417
"2101707" "2018" 9 4.732
"2101707" "2018" 11 2351.716
"2101707" "2018" 12 21229
"2101707" "2018" 15 713.626
"2101707" "2018" 21 27.412
"2101707" "2018" 23 53479.764
"2101707" "2018" 24 1045.037
"2101707" "2018" 25 3367.458
"2101707" "2018" 30 1.607
"2101707" "2018" 32 138.782
"2101707" "2018" 33 3502.321
"2101707" "2018" 39 0.625
"2101707" "2019" 3 117814.515
"2101707" "2019" 4 96742.484
"2101707" "2019" 5 3306.185
"2101707" "2019" 9 4.999
"2101707" "2019" 11 2375.648
"2101707" "2019" 12 21597.889
"2101707" "2019" 15 579.695
"2101707" "2019" 21 32.592
"2101707" "2019" 23 51901.533
"2101707" "2019" 24 1045.841
"2101707" "2019" 25 4593.113
"2101707" "2019" 30 1.607
"2101707" "2019" 32 117.35
"2101707" "2019" 33 3492.129
"2101707" "2019" 39 1.696
"2101707" "2020" 3 119773.572
"2101707" "2020" 4 94579.215
"2101707" "2020" 5 3310.382
"2101707" "2020" 9 4.999
"2101707" "2020" 11 2466.464
"2101707" "2020" 12 21870.696
"2101707" "2020" 15 640.955
"2101707" "2020" 21 57.419
"2101707" "2020" 23 50476.997
"2101707" "2020" 24 1053.521
"2101707" "2020" 25 5656.948
"2101707" "2020" 30 1.429
"2101707" "2020" 32 55.283
"2101707" "2020" 33 3098.105
"2101707" "2020" 39 2.321
"2102200" "1985" 3 91796.338
"2102200" "1985" 4 51893.887
"2102200" "1985" 11 586.773
"2102200" "1985" 12 732.828
"2102200" "1985" 21 349.202
"2102200" "1985" 24 66.447
"2102200" "1985" 25 214.585
"2102200" "1985" 33 1757.817
"2102200" "1986" 3 91546.064
"2102200" "1986" 4 52342.901
"2102200" "1986" 11 581.602
"2102200" "1986" 12 576.9
"2102200" "1986" 21 342.78
"2102200" "1986" 24 78.309
"2102200" "1986" 25 168.206
"2102200" "1986" 33 1761.115
"2102200" "1987" 3 91136.577
"2102200" "1987" 4 52916.678
"2102200" "1987" 11 525.769
"2102200" "1987" 12 530.782
