"CD_MUN","class_values","year","area_ha"
"2103406",25,2004,61.7872788485896
"2103406",33,2004,521.032122428032
"2103406",3,2005,78439.3655861267
"2103406",4,2005,17201.47517684
"2103406",9,2005,25.9468970904339
"2103406",11,2005,127.852629784562
"2103406",12,2005,12.8386590002285
"2103406",15,2005,376.922588411522
"2103406",20,2005,7.57711184010357
"2103406",21,2005,373.907400263804
"2103406",24,2005,732.695705581908
"2103406",25,2005,70.0783209221093
"2103406",33,2005,482.424451998907
"2103406",3,2006,78204.3696290188
"2103406",4,2006,17341.704461713
"2103406",9,2006,32.2774275632154
"2103406",11,2006,125.088468610317
"2103406",12,2006,15.7807810192108
"2103406",15,2006,217.258920692372
"2103406",20,2006,61.8682300637325
"2103406",21,2006,559.425003230517
"2103406",24,2006,737.777703254309
"2103406",25,2006,87.3736628444744
"2103406",33,2006,467.44711164567
"2103406",41,2006,0.713128205727041
"2103406",3,2007,77941.8217040903
"2103406",4,2007,17477.6431740442
"2103406",9,2007,60.8983742657283
"2103406",11,2007,125.712542111389
"2103406",12,2007,17.5638315988937
"2103406",15,2007,53.0497485780179
"2103406",20,2007,68.2866005867746
"2103406",21,2007,808.07202014198
"2103406",24,2007,745.891012253543
"2103406",25,2007,84.7875495874509
"2103406",33,2007,464.861948289235
"2103406",41,2007,2.49602231567204
"2103406",3,2008,77781.2759708069
"2103406",4,2008,17550.457528904
"2103406",9,2008,99.6848526458802
"2103406",11,2008,125.890663884326
"2103406",12,2008,19.2577297545219
"2103406",15,2008,45.1164924768744
"2103406",20,2008,77.0227118824381
"2103406",21,2008,832.409107502734
"2103406",24,2008,746.871723918115
"2103406",25,2008,103.331206434046
"2103406",33,2008,466.557356623685
"2103406",41,2008,3.20918303378001
"2103406",3,2009,77471.4331492612
"2103406",4,2009,17871.3547047883
"2103406",9,2009,121.084411322054
"2103406",11,2009,123.929295103531
"2103406",12,2009,18.7228086160103
"2103406",15,2009,65.4457409248471
"2103406",20,2009,68.4650897527967
"2103406",21,2009,784.617770475663
"2103406",24,2009,751.329585300523
"2103406",25,2009,107.877370439274
"2103406",33,2009,464.417688072079
"2103406",41,2009,2.40691382589079
"2103406",3,2010,77512.833467501
"2103406",4,2010,17956.3798385277
"2103406",9,2010,123.75934427455
"2103406",11,2010,120.987092116528
"2103406",12,2010,19.5251271759802
"2103406",15,2010,65.2659210080162
"2103406",20,2010,76.6668477435228
"2103406",21,2010,670.944725250745
"2103406",24,2010,756.500687205567
"2103406",25,2010,90.1340405108122
"2103406",33,2010,456.661078969872
"2103406",41,2010,1.42635759109054
"2103406",3,2011,77521.1237380701
"2103406",4,2011,17958.166637938
"2103406",9,2011,124.205137141979
"2103406",11,2011,120.987047155513
"2103406",12,2011,21.397284501173
"2103406",15,2011,113.943801520651
"2103406",20,2011,83.6204172232835
"2103406",21,2011,612.904904501596
"2103406",24,2011,760.245297737274
"2103406",25,2011,85.6757568568939
"2103406",33,2011,447.031612907744
"2103406",41,2011,1.78289232116025
"2103406",3,2012,77394.0710914042
"2103406",4,2012,18126.9415899075
"2103406",9,2012,128.752283633951
"2103406",11,2012,115.102893330208
"2103406",12,2012,17.6528454177909
"2103406",15,2012,195.874342343205
"2103406",20,2012,63.7404202280903
"2103406",21,2012,532.045943688169
"2103406",24,2012,767.110438439227
"2103406",25,2012,76.4929625667125
